application_number,sponsor_name,brand_name,dosage_form,route,marketing_status,prescription,price_per_dose
ANDA084743,INWOOD LABS,PHENDIMETRAZINE TARTRATE,TABLET,ORAL,Discontinued,cardiovascular,4499.18
ANDA084756,CHARTWELL MOLECULAR,METHOCARBAMOL,TABLET,ORAL,Discontinued,diabetes,195.88
ANDA084772,ALPHARMA US PHARMS,PROMETH FORTIS,SYRUP,ORAL,Discontinued,cardiovascular,8199.73
ANDA084810,NOVARTIS,APRESAZIDE,CAPSULE,ORAL,Discontinued,other,172.14
ANDA084915,NEXGEN PHARMA INC,FOLIC ACID,TABLET,ORAL,Discontinued,other,720.39
ANDA084921,ABRAXIS PHARM,HYDROXOCOBALAMIN,INJECTABLE,INJECTION,Discontinued,other,486.08
ANDA084931,REXAR,METHAMPHETAMINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,cancer,18867.11
ANDA084999,CARACO,WYGESIC,TABLET,ORAL,Discontinued,other,699.04
ANDA085003,HIKMA INTL PHARMS,AMINOPHYLLINE,TABLET,ORAL,Discontinued,other,547.84
NDA018160,GD SEARLE LLC,DEMULEN 1/35-28,TABLET,ORAL-28,Discontinued,infc respiratory,200.35
ANDA085046,SANDOZ,ORPHENADRINE CITRATE,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,other,646.94
ANDA085053,WATSON LABS,SULFAMETHOXAZOLE,TABLET,ORAL,Discontinued,cardiovascular,6368.12
ANDA085056,ORTHO MCNEIL PHARM,TYLENOL W/ CODEINE,TABLET,ORAL,Discontinued,chronic respiratory,763.22
ANDA085061,CONTRACT PHARMACAL,FOLIC ACID,TABLET,ORAL,Discontinued,other,349.64
NDA018182,BAYER HEALTHCARE LLC,MYCELEX-7,TABLET,VAGINAL,Discontinued,diabetes,137.88
ANDA085169,HALSEY,THEOPHYLLINE,ELIXIR,ORAL,Discontinued,other,139.64
NDA018185,ZYLA,INDOCIN SR,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued,chronic respiratory,4270.98
NDA018197,BASF,RUFEN,TABLET,ORAL,Discontinued,diabetes,54.12
NDA018201,MERCK,MODURETIC 5-50,TABLET,ORAL,Discontinued,cardiovascular,1073.23
ANDA085322,PERRIGO,QUINIDINE SULFATE,TABLET,ORAL,Discontinued,other,116.99
ANDA085347,WHITEWORTH TOWN PLSN,HYDROCHLOROTHIAZIDE,TABLET,ORAL,Discontinued,other,528.58
ANDA085373,WATSON LABS,HYDROCHLOROTHIAZIDE W/ HYDRALAZINE,TABLET,ORAL,Discontinued,cancer,62087.38
ANDA085376,IMPAX LABS,DEXAMETHASONE,TABLET,ORAL,Discontinued,cancer,40493.33
NDA018205,GD SEARLE LLC,TATUM-T,INTRAUTERINE DEVICE,INTRAUTERINE,Discontinued,cancer,29008.95
ANDA085482,VALEANT PHARM INTL,LIBRITABS,TABLET,ORAL,Discontinued,other,809.51
ANDA085485,SANDOZ,CHLOROTHIAZIDE,TABLET,ORAL,Discontinued,cardiovascular,729.45
NDA018226,VALIDUS PHARMS,BUMEX,INJECTABLE,INJECTION,Discontinued,other,281.01
ANDA085521,PHOENIX LABS NY,BROMPHENIRAMINE MALEATE,Tablet,Oral,Prescription,other,40.08
ANDA085564,WATSON LABS,AMINOPHYLLINE,TABLET,ORAL,Discontinued,cancer,1586.24
ANDA085641,WYETH AYERST,DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,Discontinued,other,354.03
ANDA085697,PVT FORM,PHENDIMETRAZINE TARTRATE,TABLET,ORAL,Discontinued,chronic respiratory,1014.38
ANDA085734,B BRAUN,AMMONIUM CHLORIDE 2.14%,INJECTABLE,INJECTION,Discontinued,diabetes,90.25
ANDA085737,MEDPOINTE PHARM HLC,COLONAID,TABLET,ORAL,Discontinued,cardiovascular,8218.42
ANDA085791,WATSON LABS,SODIUM PENTOBARBITAL,CAPSULE,ORAL,Discontinued,diabetes,74.45
ANDA085798,WHITEWORTH TOWN PLSN,SECOBARBITAL SODIUM,CAPSULE,ORAL,Discontinued,ETS,3912.16
ANDA085860,WATSON LABS,TESTOSTERONE ENANTHATE AND ESTRADIOL VALERATE,INJECTABLE,INJECTION,Discontinued,infc respiratory,3391.5
ANDA085868,SUN PHARM INDS LTD,ACETAMINOPHEN AND CODEINE PHOSPHATE,TABLET,ORAL,Discontinued,chronic respiratory,1665.91
ANDA085895,EVERYLIFE,SECOBARBITAL SODIUM,CAPSULE,ORAL,Discontinued,cancer,54746.3
ANDA085914,MFG CHEMISTS,PHENDIMETRAZINE TARTRATE,TABLET,ORAL,Discontinued,other,444.99
ANDA085916,SANDOZ,DIETHYLPROPION HYDROCHLORIDE,TABLET,ORAL,Discontinued,cancer,13013.85
ANDA086012,FOREST PHARMS,MICROSUL,TABLET,ORAL,Discontinued,cardiovascular,9076.49
NDA018269,B BRAUN,ISOLYTE E W/ DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,cancer,57047.87
ANDA086030,WATSON PHARMS INC,TESTOSTERONE CYPIONATE,INJECTABLE,INJECTION,Discontinued,ETS,4407.19
ANDA086033,WATSON LABS,ISOSORBIDE DINITRATE,TABLET,SUBLINGUAL,Discontinued,chronic respiratory,4127.94
ANDA086069,ABBVIE,ESTRACE,CREAM,VAGINAL,Prescription,other,80.7
ANDA086109,WATSON LABS,TOLBUTAMIDE,TABLET,ORAL,Discontinued,cardiovascular,2112.34
NDA018276,UPJOHN,XANAX,TABLET,ORAL,Prescription,other,146.12
ANDA086202,GD SEARLE LLC,PROCAINE HYDROCHLORIDE,INJECTABLE,INJECTION,Discontinued,ETS,4162.36
NDA018289,GE HEALTHCARE,NEPHROFLOW,INJECTABLE,INJECTION,Discontinued,chronic respiratory,4319.11
ANDA086295,WARNER CHILCOTT,AMITRIL,TABLET,ORAL,Discontinued,cardiovascular,5303.32
ANDA086332,INTL MEDICATION,MEPERIDINE HYDROCHLORIDE,INJECTABLE,INJECTION,Discontinued,cardiovascular,1086.57
ANDA086357,INTL MEDICATION,HEPARIN LOCK FLUSH,INJECTABLE,INJECTION,Discontinued,other,136.48
ANDA086399,MEDICIS,THEOLAIR,TABLET,ORAL,Discontinued,other,813.74
ANDA086417,DR REDDYS,TESTOSTERONE,INJECTABLE,INJECTION,Discontinued,HIV,4649.49
ANDA086450,VALEANT PHARMS NORTH,ANDROID 10,TABLET,ORAL,Discontinued,other,200.28
ANDA086471,ORTHO MCNEIL PHARM,THEOPHYL-SR,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued,cardiovascular,160.82
NDA018310,COVIDIEN,LYMPHAZURIN,SOLUTION,SUBCUTANEOUS,Discontinued,other,331.62
NDA018315,OTSUKA ICU MEDCL,GLYCINE 1.5% IN PLASTIC CONTAINER,SOLUTION,IRRIGATION,Prescription,other,31.47
NDA018327,CURIUM,XENON XE 133,GAS,INHALATION,Prescription,other,828.15
ANDA086824,PHARM ASSOC,H-CORT,LOTION,TOPICAL,Discontinued,other,492.02
ANDA086845,WARNER CHILCOTT,ORLEX,SOLUTION/DROPS,OTIC,Discontinued,chronic respiratory,3227.21
ANDA086881,CHARTWELL RX,SPIRONOLACTONE AND HYDROCHLOROTHIAZIDE,TABLET,ORAL,Discontinued,other,412.07
ANDA086903,EPIC PHARMA LLC,METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,Discontinued,chronic respiratory,1760.26
NDA018340,ROCHE PALO,AEROBID,"AEROSOL, METERED",INHALATION,Discontinued,chronic respiratory,1149.89
ANDA086985,LEDERLE,ERGOLOID MESYLATES,TABLET,SUBLINGUAL,Discontinued,other,770.76
ANDA087056,HERITAGE PHARMA,CYPROHEPTADINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,other,695.85
NDA018358,B BRAUN,DEXTROSE 2.5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,other,361.37
NDA018361,EMD SERONO,SEROPHENE,TABLET,ORAL,Discontinued,diabetes,98.17
ANDA087086,PHARMOBEDIENT,SPIRONOLACTONE,TABLET,ORAL,Discontinued,other,2.24
ANDA087153,ALPHARMA US PHARMS,PROCHLORPERAZINE,CONCENTRATE,ORAL,Discontinued,other,64.49
ANDA087203,ALPHARMA US PHARMS,FLURANDRENOLIDE,LOTION,TOPICAL,Discontinued,other,623.63
NDA018371,OTSUKA ICU MEDCL,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,other,515.09
NDA018371,OTSUKA ICU MEDCL,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,diabetes,115.22
NDA018371,OTSUKA ICU MEDCL,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,cardiovascular,8283.65
NDA018374,SUN PHARM INDS INC,BACTRIM,INJECTABLE,INJECTION,Discontinued,other,504.39
ANDA087355,FOUGERA PHARMS INC,NITROGLYCERIN,OINTMENT,TRANSDERMAL,Prescription,infc respiratory,1953.24
ANDA087462,SANDOZ,THEOPHYLLINE,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued,diabetes,74.19
ANDA087488,WATSON LABS,NANDROLONE PHENPROPIONATE,INJECTABLE,INJECTION,Discontinued,other,820.87
ANDA087523,ASCOT,AMINOPHYLLINE,TABLET,ORAL,Discontinued,infc respiratory,2902.43
NDA018413,CHARTWELL RX,FUROSEMIDE,TABLET,ORAL,Discontinued,cardiovascular,969.98
ANDA087565,CHARTWELL RX,HYDROCHLOROTHIAZIDE,TABLET,ORAL,Discontinued,cancer,64960.06
ANDA087638,VANGARD,HYDROCHLOROTHIAZIDE,TABLET,ORAL,Discontinued,cancer,42622.06
ANDA087663,ASCOT,PROPANTHELINE BROMIDE,TABLET,ORAL,Discontinued,other,811.57
ANDA087672,PHARMOBEDIENT,METHYCLOTHIAZIDE,TABLET,ORAL,Discontinued,tuberculosis,4598.63
ANDA087724,BAYER HLTHCARE,ANGIOVIST 292,INJECTABLE,INJECTION,Discontinued,cardiovascular,6024.63
ANDA087745,PHARMOBEDIENT,CHLOROTHIAZIDE-RESERPINE,TABLET,ORAL,Discontinued,chronic respiratory,3671.48
ANDA087762,PURACAP PHARM,ACETAMINOPHEN AND CODEINE PHOSPHATE,TABLET,ORAL,Discontinued,chronic respiratory,330.12
ANDA087774,CHARTWELL RX,PHENYLBUTAZONE,CAPSULE,ORAL,Discontinued,cardiovascular,5624.54
ANDA087785,WATSON LABS,QUINIDINE GLUCONATE,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,cancer,75582.93
ANDA087791,MARCHAR,FLUOROURACIL,INJECTABLE,INJECTION,Discontinued,cancer,49776.86
NDA018461,BAXTER HLTHCARE,LIDOCAINE HYDROCHLORIDE 0.8% AND DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,diabetes,139.03
NDA018461,BAXTER HLTHCARE,LIDOCAINE HYDROCHLORIDE 0.2% AND DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,other,899.05
NDA018461,BAXTER HLTHCARE,LIDOCAINE HYDROCHLORIDE 0.4% AND DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,cancer,19970.34
NDA018461,BAXTER HLTHCARE,LIDOCAINE HYDROCHLORIDE 0.1% AND DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,other,99.15
ANDA087838,PHARMAFAIR,HYDROCORTISONE,CREAM,TOPICAL,Discontinued,cardiovascular,6921.9
ANDA087876,VANGARD,TOLBUTAMIDE,TABLET,ORAL,Discontinued,other,823.03
ANDA087881,PHARMOBEDIENT,LIDOCAINE HYDROCHLORIDE,SOLUTION,TOPICAL,Prescription,tuberculosis,4259.93
ANDA087909,VANGARD,QUINIDINE SULFATE,TABLET,ORAL,Discontinued,chronic respiratory,3226.14
ANDA087919,USL PHARMA,ACETAMINOPHEN AND CODEINE PHOSPHATE,TABLET,ORAL,Discontinued,diabetes,174.98
ANDA087934,ASCOT,DIPHENOXYLATE HYDROCHLORIDE AND ATROPINE SULFATE,TABLET,ORAL,Discontinued,other,700.96
ANDA087940,STIEFEL,SCABENE,SHAMPOO,TOPICAL,Discontinued,chronic respiratory,482.52
ANDA087996,USL PHARMA,MYMETHAZINE FORTIS,SYRUP,ORAL,Discontinued,other,762.28
ANDA088024,NUMARK,SPRX-105,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued,other,180.18
ANDA088036,VANGARD,IMIPRAMINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,other,237.37
ANDA088066,HALSEY,HYDROPANE,SYRUP,ORAL,Discontinued,HIV,2003.52
ANDA088071,PHARMAFAIR,DEXAIR,OINTMENT,OPHTHALMIC,Discontinued,HIV,1607.11
NDA018501,MILES,DEXTROSE 5% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,chronic respiratory,1642.18
ANDA088127,WATSON LABS,HYDROFLUMETHIAZIDE AND RESERPINE,TABLET,ORAL,Discontinued,other,170.09
ANDA088129,VANGARD,CHLORDIAZEPOXIDE HYDROCHLORIDE,CAPSULE,ORAL,Discontinued,other,294.58
ANDA088166,INTL MEDICATION,DIATRIZOATE-60,INJECTABLE,INJECTION,Discontinued,diabetes,52.95
ANDA088168,FOUGERA PHARMS INC,FLUOCINOLONE ACETONIDE,OINTMENT,TOPICAL,Prescription,chronic respiratory,2390.91
ANDA088176,PAR PHARM,CHLORPROPAMIDE,TABLET,ORAL,Discontinued,other,768.82
ANDA088200,SANDOZ,RESERPINE AND HYDROCHLOROTHIAZIDE,TABLET,ORAL,Discontinued,diabetes,179.34
ANDA088214,ALLERGAN HERBERT,PENECORT,SOLUTION,TOPICAL,Discontinued,other,820.61
NDA018512,BAXTER HLTHCARE,SORBITOL 3% IN PLASTIC CONTAINER,SOLUTION,IRRIGATION,Discontinued,other,417.04
ANDA088252,HIKMA,DEXAMETHASONE INTENSOL,CONCENTRATE,ORAL,Prescription,hepatitis,3665.61
NDA018519,BAXTER HLTHCARE,IRRIGATING SOLUTION G IN PLASTIC CONTAINER,SOLUTION,IRRIGATION,Discontinued,other,288.6
ANDA088307,SANDOZ,THIORIDAZINE HYDROCHLORIDE,CONCENTRATE,ORAL,Discontinued,chronic respiratory,325.03
ANDA088390,DEPROCO,LIGNOSPAN STANDARD,INJECTABLE,INJECTION,Prescription,other,676.3
ANDA088475,ABRAXIS PHARM,GLYCOPYRROLATE,INJECTABLE,INJECTION,Discontinued,cardiovascular,6505.52
ANDA088578,SUPERPHARM,TRIPROLIDINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,chronic respiratory,4018.07
ANDA088598,MORTON GROVE,PROCHLORPERAZINE EDISYLATE,CONCENTRATE,ORAL,Discontinued,other,616.49
ANDA088603,QUANTUM PHARMICS,DOXYLAMINE SUCCINATE,TABLET,ORAL,Discontinued,other,157.73
ANDA088604,PIONEER PHARMS,BROMPHENIRAMINE MALEATE,TABLET,ORAL,Discontinued,cancer,85345.61
ANDA088636,INTL MEDICATION,PROCAINAMIDE HYDROCHLORIDE,INJECTABLE,INJECTION,Prescription,chronic respiratory,3154.9
ANDA088639,BARR,MEPERIDINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,other,807.8
ANDA088706,TEVA,CHLORDIAZEPOXIDE HYDROCHLORIDE,CAPSULE,ORAL,Discontinued,cardiovascular,7752.37
ANDA088733,PLIVA,MECLIZINE HYDROCHLORIDE,"TABLET, CHEWABLE",ORAL,Discontinued,other,298.57
ANDA088742,USL PHARMA,FLUOCINOLONE ACETONIDE,OINTMENT,TOPICAL,Discontinued,chronic respiratory,419.04
ANDA088746,SANOFI AVENTIS US,ACCURBRON,SYRUP,ORAL,Discontinued,other,177.33
NDA018584,GLAXOSMITHKLINE,BECONASE,"AEROSOL, METERED",NASAL,Discontinued,other,93.77
ANDA088761,G AND W LABS INC,PROMETH VC PLAIN,SYRUP,ORAL,Discontinued,tuberculosis,1254.89
ANDA088868,HALSEY,PHERAZINE VC,SYRUP,ORAL,Discontinued,other,460.07
ANDA088880,PIONEER PHARMS,DIPHENHYDRAMINE HYDROCHLORIDE,CAPSULE,ORAL,Discontinued,chronic respiratory,4538.71
ANDA088901,FRESENIUS KABI USA,POTASSIUM CHLORIDE IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,diabetes,180.8
ANDA088949,PIONEER PHARMS,FOLIC ACID,TABLET,ORAL,Discontinued,cancer,71916.26
ANDA088962,SUPERPHARM,LOGEN,TABLET,ORAL,Discontinued,diabetes,53.62
ANDA088988,SUPERPHARM,CHLORDIAZEPOXIDE HYDROCHLORIDE,CAPSULE,ORAL,Discontinued,other,342.05
ANDA088991,MALLINCKRODT,BUCET,CAPSULE,ORAL,Discontinued,chronic respiratory,3427.62
ANDA089006,MALLINCKRODT,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,CAPSULE,ORAL,Discontinued,other,129.9
ANDA089013,CENCI,PROMETHAZINE,SYRUP,ORAL,Discontinued,diabetes,170.16
ANDA089019,TEVA,RESERPINE,TABLET,ORAL,Discontinued,other,914.66
ANDA089024,TARO,HYDROCORTISONE,LOTION,TOPICAL,Discontinued,ETS,1802.82
ANDA089094,SOLOPAK,TRIMETHOBENZAMIDE HYDROCHLORIDE,INJECTABLE,INJECTION,Discontinued,chronic respiratory,3543.92
ANDA089120,QUANTUM PHARMICS,PHENTERMINE RESIN 30,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued,diabetes,72.23
ANDA089141,FLEMING PHARMS,AEROLATE,SOLUTION,ORAL,Discontinued,diabetes,153.62
ANDA089162,ALCON PHARMS LTD,CYCLOPENTOLATE HYDROCHLORIDE,SOLUTION/DROPS,OPHTHALMIC,Discontinued,infc respiratory,156.2
ANDA089179,HALSEY,BELDIN,SYRUP,ORAL,Discontinued,other,151.62
NDA018649,BAXTER HLTHCARE,THEOPHYLLINE AND DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,cardiovascular,7113.32
ANDA089290,USL PHARMA,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET,ORAL,Discontinued,other,712.14
NDA018657,BAXTER HLTHCARE,FLAGYL I.V. RTU IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,other,641.52
ANDA089326,QUAD PHARMS,TESTOSTERONE CYPIONATE,Injectable,Injection,Discontinued,diabetes,121.6
ANDA089330,QUAD PHARMS,HYDROXYPROGESTERONE CAPROATE,Injectable,Injection,Discontinued,chronic respiratory,3390.8
NDA018658,RB HLTH,DELSYM,"SUSPENSION, EXTENDED RELEASE",ORAL,Over-the-counter,chronic respiratory,3880.31
ANDA089347,BRACCO,RENOCAL-76,INJECTABLE,INJECTION,Discontinued,cardiovascular,9666.49
ANDA089373,ABRAXIS PHARM,CALCIUM GLUCEPTATE,INJECTABLE,INJECTION,Discontinued,other,888.75
ANDA089399,SUN PHARM INDS INC,AMITRIPTYLINE HYDROCHLORIDE,TABLET,ORAL,Prescription,other,794.74
NDA018664,ANBEX,IOSAT,TABLET,ORAL,Over-the-counter,other,695.06
ANDA089409,FRESENIUS KABI USA,POLOCAINE-MPF,INJECTABLE,INJECTION,Prescription,other,574.58
ANDA089424,SUN PHARM INDUSTRIES,SPIRONOLACTONE,TABLET,ORAL,Prescription,cardiovascular,1250.06
ANDA089464,DR REDDYS,HEPARIN SODIUM PRESERVATIVE FREE,INJECTABLE,INJECTION,Discontinued,diabetes,74.83
NDA018676,B BRAUN,HEPATAMINE 8%,INJECTABLE,INJECTION,Discontinued,chronic respiratory,4110.38
ANDA089565,HOSPIRA,VINBLASTINE SULFATE,INJECTABLE,INJECTION,Discontinued,diabetes,170.5
NDA018677,BAUSCH,CESAMET,CAPSULE,ORAL,Discontinued,other,614.84
ANDA089647,PHARM ASSOC,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,SYRUP,ORAL,Discontinued,other,439.4
ANDA089682,ACTAVIS MID ATLANTIC,HYDROCORTISONE,CREAM,TOPICAL,Prescription,diabetes,53.9
NDA018683,MAYER LABS INC,TODAY,SPONGE,VAGINAL,Discontinued,cardiovascular,3305.41
ANDA089708,ANI PHARMS,PERPHENAZINE,TABLET,ORAL,Discontinued,diabetes,113.1
ANDA089800,QUAD PHARMS,FLUPHENAZINE HCL,Injectable,Injection,Discontinued,diabetes,122.87
NDA018689,LEGACY PHARMA,RIDAURA,CAPSULE,ORAL,Prescription,other,929.4
ANDA089900,WARNER CHILCOTT,PHENYTOIN SODIUM,INJECTABLE,INJECTION,Discontinued,cardiovascular,1131.66
ANDA089907,IVAX PHARMS,ALLAY,CAPSULE,ORAL,Discontinued,other,519.35
NDA018703,GLAXO GRP LTD,ZANTAC 300,TABLET,ORAL,Discontinued,cancer,36918.65
ANDA090041,AMNEAL PHARMS,MEMANTINE HYDROCHLORIDE,TABLET,ORAL,Prescription,other,990.11
ANDA090073,POINTVIEW HLDINGS,MEMANTINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,cardiovascular,8625.55
ANDA090095,BARR,DUTASTERIDE,CAPSULE,ORAL,Prescription,cardiovascular,4415.92
ANDA090114,XIROMED,SYEDA,TABLET,ORAL-28,Prescription,other,999.7
ANDA090125,NAVINTA LLC,NICARDIPINE HYDROCHLORIDE,INJECTABLE,INJECTION,Discontinued,HIV,2594.61
ANDA090145,NOVEL LABS INC,"PEG-3350, SODIUM SULFATE, SODIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM ASCORBATE AND ASCORBIC ACID",FOR SOLUTION,ORAL,Prescription,diabetes,75.07
ANDA090164,SANDOZ,TRIAMCINOLONE ACETONIDE,INJECTABLE,INJECTION,Discontinued,infc respiratory,2801.58
ANDA090174,ZYDUS PHARMS USA INC,VENLAFAXINE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription,other,226.98
ANDA090175,ZYDUS PHARMS USA INC,DONEPEZIL HYDROCHLORIDE,"TABLET, ORALLY DISINTEGRATING",ORAL,Discontinued,chronic respiratory,3199.75
ANDA090186,NOVEL LABS INC,PEG 3350 AND ELECTROLYTES,FOR SOLUTION,ORAL,Prescription,other,937.5
ANDA090221,WOCKHARDT BIO AG,ALFUZOSIN HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,diabetes,167.93
ANDA090245,LUPIN,AMLODIPINE BESYLATE AND VALSARTAN,TABLET,ORAL,Prescription,other,273.89
ANDA090303,HIKMA,MELPHALAN HYDROCHLORIDE,INJECTABLE,INJECTION,Prescription,cardiovascular,3003.74
NDA008392,BRISTOL MYERS SQUIBB,NYDRAZID,TABLET,ORAL,Discontinued,other,70.22
ANDA090318,RISING,ROPIVACAINE HYDROCHLORIDE,SOLUTION,INJECTION,Discontinued,cancer,28729.61
ANDA090323,PHARMOBEDIENT,QUETIAPINE FUMARATE,TABLET,ORAL,Discontinued,chronic respiratory,508.49
ANDA090326,PHARMOBEDIENT,LIOTHYRONINE SODIUM,TABLET,ORAL,Discontinued,other,499.95
ANDA090335,PHARMOBEDIENT,GABAPENTIN,TABLET,ORAL,Discontinued,cancer,70893.04
ANDA090348,CHARTWELL RX,ZIPRASIDONE HYDROCHLORIDE,CAPSULE,ORAL,Prescription,cardiovascular,7524.25
ANDA090370,WATSON LABS INC,VALACYCLOVIR HYDROCHLORIDE,TABLET,ORAL,Discontinued,infc respiratory,344.67
ANDA090382,STRIDES PHARMA,LOSARTAN POTASSIUM,TABLET,ORAL,Prescription,other,340.62
ANDA090384,FRESENIUS KABI USA,PEMETREXED DISODIUM,POWDER,INTRAVENOUS,Prescription,chronic respiratory,1476.45
NDA018747,FISONS,ISOCLOR,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued,cancer,10609.17
ANDA090401,AUROBINDO PHARMA,LAMOTRIGINE,"TABLET, FOR SUSPENSION",ORAL,Prescription,chronic respiratory,1844.23
ANDA090413,PHARMOBEDIENT,HYDRALAZINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,hepatitis,1531.63
NDA018749,MISSION PHARMA,LITHOSTAT,TABLET,ORAL,Prescription,cancer,63523.02
ANDA090468,CYPRESS PHARM INC,ZYFREL,SOLUTION,ORAL,Discontinued,chronic respiratory,4422.35
ANDA090469,AUROBINDO PHARMA,ONDANSETRON,"TABLET, ORALLY DISINTEGRATING",ORAL,Prescription,cardiovascular,4575.68
ANDA090476,BARR,CINACALCET HYDROCHLORIDE,TABLET,ORAL,None (Tentative Approval),other,746.92
ANDA090498,ISTITUTO BIO ITA SPA,PIPERACILLIN AND TAZOBACTAM,INJECTABLE,INJECTION,Prescription,tuberculosis,772.75
ANDA090521,NATCO PHARMA,DONEPEZIL HYDROCHLORIDE,TABLET,ORAL,Discontinued,other,895.07
ANDA090530,QUAGEN,URSODIOL,CAPSULE,ORAL,Discontinued,HIV,805.34
ANDA090534,AM REGENT,NICARDIPINE HYDROCHLORIDE,INJECTABLE,INJECTION,Prescription,infc respiratory,1000.9
ANDA090535,SUN PHARM INDS INC,OXYCODONE AND ACETAMINOPHEN,TABLET,ORAL,Discontinued,other,107.36
ANDA090549,HIKMA PHARMS,PENICILLIN V POTASSIUM,TABLET,ORAL,Prescription,other,310.37
ANDA090582,SAGENT PHARMS,NAFCILLIN SODIUM,INJECTABLE,INJECTION,Prescription,other,552.86
ANDA090596,MYLAN,TACROLIMUS,CAPSULE,ORAL,Prescription,cardiovascular,9880.54
ANDA090609,DR REDDYS,ATOMOXETINE HYDROCHLORIDE,CAPSULE,ORAL,Prescription,other,793.57
ANDA090618,GLENMARK PHARMS,NIZATIDINE,CAPSULE,ORAL,Discontinued,cancer,38167.49
ANDA090638,EPIC PHARMA LLC,NEDOCROMIL SODIUM,SOLUTION/DROPS,OPHTHALMIC,Discontinued,other,576.27
ANDA090665,EXTROVIS,LIDOCAINE HYDROCHLORIDE PRESERVATIVE FREE,INJECTABLE,INJECTION,Discontinued,other,623.68
ANDA090695,LANNETT CO INC,LOXAPINE SUCCINATE,CAPSULE,ORAL,Prescription,other,822.9
ANDA090702,HETERO LABS LTD III,LITHIUM CARBONATE,CAPSULE,ORAL,Prescription,HIV,3695.44
ANDA090712,PADDOCK LLC,POLYETHYLENE GLYCOL 3350 AND ELECTROLYTES,FOR SOLUTION,ORAL,Discontinued,ETS,2867.99
ANDA090724,AREVA PHARMS,FLUDARABINE PHOSPHATE,INJECTABLE,INJECTION,Prescription,other,669.51
ANDA090747,AM REGENT,BETAMETHASONE ACETATE AND BETAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,Prescription,other,746.17
ANDA090769,PADDOCK LLC,CLENZ-LYTE,FOR SOLUTION,ORAL,Discontinued,cardiovascular,1374.78
ANDA090773,WOCKHARDT,DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED RELEASE",ORAL,None (Tentative Approval),diabetes,80.07
ANDA090797,ACTAVIS TOTOWA,PANTOPRAZOLE SODIUM,"TABLET, DELAYED RELEASE",ORAL,Discontinued,hepatitis,3458.49
NDA018796,ALCON,PILOPINE HS,GEL,OPHTHALMIC,Discontinued,other,850.58
NDA018801,HOSPIRA,STERILE WATER FOR INJECTION,LIQUID,ORAL,Prescription,cardiovascular,4122.16
ANDA090858,ALKEM,GABAPENTIN,CAPSULE,ORAL,Prescription,other,979.91
ANDA090864,PAR PHARM INC,CYCLOBENZAPRINE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,None (Tentative Approval),chronic respiratory,1119.56
